#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xorg-minimal,is the graphical server.
,xwininfo,allows querying information about windows.
,xinit,starts the graphical server.
,xorg-fonts,is a font package.
,libX11-devel,is required for the compilation of some programs.
,libXft-devel,is required for the compilation of some programs.
,libXinerama-devel,is required for the compilation of some programs.
,fontconfig-devel,is required for the compilation of some programs.
,wget,get files by url.
,psmisc,the killall command.
,xcompmgr,is for transparency and removing screen-tearing.
,xprop,is a tool for detecting window properties.
,xrandr,a tool for set the screen modes.
,dosfstools,allows your computer to access dos-like filesystems.
,libnotify,allows desktop notifications.
,dbus,facilitates inter-process communication.
,dunst,is a suckless notification system.
,exfat-utils,allows management of FAT drives.
,sxiv,is a minimalist image viewer.
,sxhkd,shortcut daemon.
,bat,an alternative to cat.
,xwallpaper,sets the wallpaper.
,ffmpeg,can record and splice video and audio on the command line.
,neovim,is a tidier vim with some useful features
,pipewire,is the audio system
,pulsemixer,is an audio controller.
,libva-intel-driver,video aceleration driver
,noto-fonts-emoji,is an emoji font.
,alsa-utils,is an audio interface for ALSA.
,maim,can take quick screenshots at your request.
,unclutter-xfixes,hides an inactive mouse.
,unrar,extracts rar's.
,unzip,unzips zips.
,xcape,gives the special escape/super mappings.
,xclip,allows for copying and pasting from the command line.
,xdotool,provides window action utilities on the command line.
,xdpyinfo,aids with resolution determination and screen recording.
,xdg-utils,is used by st when opening urls from the terminal.
,youtube-dl,can download any YouTube video (or playlist or channel) when given the link.
,zathura,is a pdf viewer with vim-like bindings.
,zathura-pdf-mupdf,allows mupdf pdf compatibility in zathura.
,fzf,is a fuzzy finder tool.
,highlight,can highlight code output.
,xbacklight,enables changing screen brightness levels.
,setxkbmap,allows unique keyboard bindings.
,xmodmap,allows unique keyboard bindings.
,xsetroot,sets status bar and other X properies.
,xset,allows speeding up the X rate.
,htop,monitors resources in the terminal.
#,neomutt,an extensible mail client in the terminal.
,pass,safely encrypts passwords.la
,notmuch,indexes and searches mail.
,urlview,outputs urls in mail to browser.
,zsh-syntax-highlighting,provides fish-like syntax highlighting in the shell.
,zsh-autosuggestions,provides suggestions to the terminal.
G,https://git.disroot.org/jpacheco/dwm,my dwm enviroment.
G,https://git.disroot.org/jpacheco/st,my suckless terminal emulator.
G,https://git.disroot.org/jpacheco/slstatus,my slstatusbar.
G,https://git.disroot.org/jpacheco/dmenu,my dmenu config.
G,https://github.com/LukeSmithxyz/mutt-wizard.git,mutt-wizard from lukesmith.xyz
